almaMmsId	hbzId	zdbId
990159965830206441; 990193633280206441	HT015289549; HT017450595	2387624-4
990159967740206441; 990189664420206441	HT015289740; HT017063381	2387840-X
990160029310206441; 990188077110206441	HT015295979; HT016916610	2388218-9
990160083030206441; 990363565020206441	HT015301438; HT020164494	2389230-4
990160085540206441; 990165384030206441	HT015301689; HT015494391	2389605-X
990160307540206441; 990184392360206441	HT015323683; HT016733575	2392137-7
990160309450206441; 990203657400206441	HT015323874; HT018241220	2392373-8
990160377480206441; 990194097760206441	HT015330674; HT017496475	2393802-X
990160378640206441; 990211119050206441	HT015330790; HT018941033	2393933-3
990160453090206441; 990170517210206441	HT015338342; HT015609133	2394530-8
990160536340206441; 990171594550206441	HT015346767; HT015716376	2395524-7
990102648360206441; 990177753980206441	HT012112283; HT016164513	239585-X
990160540800206441; 990226755770206441	HT015347213; HT019867814	2396022-X
990160873550206441; 990184217310206441	HT015355026; HT016717709	2396575-7
990163860530206441; 990164717760206441	HT015363104; HT015429270	2397458-8
990163861260206441; 990170878840206441	HT015363177; HT015644840	2397633-0
990163938720206441; 990183542630206441	HT015371027; HT016652334	2398712-1
990164018910206441; 990214583970206441	HT015379156; HT019196092	2399345-5
990164198010206441; 990211003810206441	HT015397235; HT018929503	2402769-8
990164272140206441; 990370531100206441	HT015404736; HT020859843	2403056-9
990164231630206441; 990164273440206441	HT015400627; HT015404866	2403204-9
990164628940206441; 990176703230206441	HT015420319; HT016064821	2405770-8
990164633160206441; 990174686960206441	HT015420741; HT015938853	2406330-7
990164699140206441; 990176902390206441	HT015427402; HT016084768	2407154-7
990164702130206441; 990166239850206441	HT015427701; HT015516379	2407635-1
990164705950206441; 990226278600206441	HT015428083; HT019820182	2408088-3
990164776660206441; 990171100740206441	HT015435234; HT015667340	2408343-4
990164777630206441; 990223250660206441	HT015435331; HT019604826	2408446-3
990164782210206441; 990173309780206441	HT015435789; HT015815393	2409025-6
990164782560206441; 990207215130206441	HT015435824; HT018577905	2409060-8
990164782640206441; 990166285030206441	HT015435832; HT015520959	2409068-2
990164857430206441; 990167132660206441	HT015443411; HT015583891	2409618-0
990164866810206441; 990207758850206441	HT015444349; HT018617951	2410818-2
990054222160206441; 990118119700206441	HT002672902; HT013488184	2415-6
990165101760206441; 990171389110206441	HT015468079; HT015695899	2415023-X
990165190950206441; 990175924630206441	HT015474871; HT016013004	2415127-0
990165190360206441; 990181101700206441	HT015474812; HT016416471	2415187-7
990165242800206441; 990183427550206441	HT015480097; HT016640824	2417107-4
990165324880206441; 990177327240206441	HT015488397; HT016126940	2417841-X
990165401850206441; 990178835420206441	HT015496196; HT016266054	2418654-5
990165402630206441; 990173231400206441	HT015496274; HT015807438	2418739-2
990165402990206441; 990166253850206441	HT015496310; HT015517801	2418780-X
990165403970206441; 990180433730206441	HT015496408; HT016349803	2418912-1
990165405920206441; 990171166980206441	HT015496603; HT015674078	2419131-0
990165486660206441; 990191701830206441	HT015504786; HT017264490	2420084-0
990166218350206441; 990211579090206441	HT015514198; HT018986950	2421763-3
990166329610206441; 990184089160206441	HT015525465; HT016705849	2423073-X
990166338760206441; 990196683950206441	HT015526380; HT017631675	2424019-9
990166385920206441; 990178177830206441	HT015531166; HT016201301	2424886-1
990166386590206441; 990194181810206441	HT015531233; HT017504018	2424958-0
990166386760206441; 990202112960206441	HT015531250; HT018096603	2424979-8
990166452800206441; 990175596970206441	HT015537933; HT015980748	2426379-5
990166455710206441; 990174093570206441	HT015538224; HT015893138	2426849-5
990166456780206441; 99370733750406441	HT015538331; HT020907221	2426966-9
990166486080206441; 990166539200206441	HT015541312; HT015544911	2427577-3
990166615250206441; 990175721620206441	HT015552630; HT015993326	2428290-X
990166618160206441; 990182465920206441	HT015552921; HT016546864	2428660-6
990166624300206441; 990182567470206441	HT015553535; HT016557046	2429359-3
990166904860206441; 990196792600206441	HT015560850; HT017642429	2429874-8
990166908420206441; 990174532280206441	HT015561206; HT015923172	2430359-8
990166910230206441; 990173037890206441	HT015561387; HT015788074	2430558-3
990166913180206441; 990178315170206441	HT015561682; HT016214802	2430893-6
990166993350206441; 990180637300206441	HT015569796; HT016370267	2431413-4
990166998890206441; 990177793020206441	HT015570350; HT016168443	2432071-7
990166999710206441; 990220009440206441	HT015570432; HT019494743	2432161-8
990167076300206441; 990198322050206441	HT015578194; HT017768881	2432435-8
990167079410206441; 990178417930206441	HT015578505; HT016225167	2432818-2
990167156040206441; 990194240970206441	HT015586290; HT017509779	2433833-3
990167239570206441; 990207532180206441	HT015594725; HT018607986	2434834-X
990167242070206441; 990175726450206441	HT015594975; HT015993812	2435046-1
