key	doc_count
Kinderbuch.	17
London <1985>	17
Mathematik	17
Medical statistics.	17
Mystery fiction.	17
München <1981>	17
München <1991>	17
München <1997>	17
New York <NY, 1990>	17
Online Publikation	17
Paris <1982>	17
Patents.	17
Psychological fiction.	17
Reiseführer	17
Software.	17
Statistik.	17
Streitschrift:theol.	17
Vidéos pour personnes handicapées auditives.	17
Wörterbuch.	17
Animated films.	16
Archives.	16
Befestigung	16
Berlin <1990>	16
Bildungsromans.	16
Chaconnes.	16
Chorus scores.	16
Classification	16
Computer network resources.	16
Digitales Regelungssystem	16
Documentary Films.	16
Dramatik	16
Frankfurt <Main, 1988>	16
Gelegenheitsschrift: Amtsantritt	16
Genealogy.	16
Graduals (Chants)	16
Kindergärten	16
Law reviews	16
Lectures.	16
London <1991>	16
Monologues (Music)	16
New York <NY, 1987>	16
New York <NY, 1998>	16
New York <NY, 1999>	16
Ouvrages illustrés.	16
Revistes electròniques	16
Sachbücher und Sachbilderbücher für Kinder und Jugendliche	16
Schlacht	16
Statistik 1983 -	16
Statistik 1993-	16
Weltgeschichte 1885-1918	16
Wien <1985>	16
Wien <1998>	16
Wien <2000>	16
ebook.	16
illustrated books.	16
Bericht.	15
Berlin <1995>	15
Berlin <1996>	15
Berlin <1997>	15
Berlin <1999>	15
Blu-Ray Audio	15
DVD-Video <für Kinder>	15
Dissertationensammlung: jur.	15
Examinations.	15
Grundpraktikum	15
Handbook / https://id.nlm.nih.gov/mesh/D020479	15
Kinder	15
München <1983>	15
München <1994>	15
München <2000>	15
New York <NY, 2003>	15
Roman	15
Sachbücher und Sachbilderbücher für Kinder und Jugendliche: Kunst, Musik	15
Statistik 1981	15
Statistik 1992-	15
Statistik 1994	15
Wien <1989>	15
Wien <1990>	15
Zeitschriften	15
Atles (Científic)	14
Berlin <West, 1982>	14
Bildungsurlaub	14
Bourrées (Music)	14
Critiques littéraires.	14
Czasopismo architektoniczne.	14
Hannover <1983>	14
Jazz.	14
Lesung	14
Love songs.	14
Musikunterricht	14
München <1995>	14
München <1999>	14
Poésie.	14
Rules.	14
Sachbilderbuch.	14
Short stories.	14
Statistics (form)	14
Statistik 1984 -	14
Treaties.	14
Weltgeschichte 1967-1968	14
Atlases.	13
Basel <1991>	13
Bundespersonalvertretungsgesetz	13
Communion service music.	13
Czasopismo medyczne.	13
Czasopismo muzyczne.	13
Denkmälerverzeichnis	13
Einkommensteuergesetz	13
Fallsammlung.	13
Fallstudiensammlung.	13
Fantasy fiction.	13
Fiction	13
Frankfurt <Main, 1991>	13
Handbooks and manuals	13
Kirche	13
Kunstführer.	13
Künstlerbuch.	13
Llibres electrònics.	13
London <1986>	13
London <1988>	13
London <1990>	13
London <1993>	13
London <1996>	13
London <2003>	13
München <1992>	13
München <2002>	13
Naval history.	13
New York <NY, 2000>	13
Paris <1979>	13
Patentschrift	13
Radierung	13
Rom <1998>	13
Statistik 1991-2002	13
Stuttgart <2002>	13
Video	13
Weltgeschichte 1940-1979	13
Weltgeschichte 1940-1980	13
poetry.	13
Advent music.	12
Analognetz	12
Berlin <2001>	12
Christliche Landeskunde	12
Collections.	12
Cookbooks.	12
Czasopismo filologiczne.	12
Directories	12
Eötvös-Wettbewerb	12
Filmed plays.	12
Forschungsbericht.	12
Funktionsaum	12
Gebetbuch	12
Handbooks / https://id.nlm.nih.gov/mesh/D020479	12
Holy Week music.	12
Interludes (Music)	12
Literature.	12
London <1987>	12
Magnetischer Effekt	12
München <1996>	12
New York <NY, 1984>	12
New York <NY, 1985>	12
New York <NY, 1991>	12
New York <NY, 1994>	12
Norm.	12
Novels.	12
Pictorial Works	12
Prognose 2050	12
Rennes <1983>	12
Rom <2002>	12
Résumés analytiques.	12
Satire	12
Statistik 1994-	12
Theologie	12
Vorlesebücher	12
Washington <DC, 1987>	12
<<al->> Ǧāmiʿa al-Islāmīya	11
Abkommen	11
Actes de congrès.	11
Action and adventure films.	11
Adressbuch.	11
Anthologies	11
Architektur	11
Aufatzsammlung	11
Bourrées (Music)	11
Briefsteller	11
Briefwechsel	11
Concerti grossi.	11
Czasopismo matematyczne	11
Czasopismo psychologiczne.	11
Discographies.	11
Experimental films.	11
Frankfurt <Main, 1987>	11
Frankfurt <Main, 1999>	11
Gelegenheitsschrift: Jubiläum	11
Glossaries, vocabularies, etc.	11
Guidelines	11
Gynäkologie	11
Hamburg <1984>	11
London <1992>	11
London <1995>	11
London <1997>	11
London <2002>	11
Lyrik, Dramatik	11
Monografische Reihe.	11
Münster <Westfalen, 1989>	11
Münster <Westfalen, 1991>	11
New York <NY, 2002>	11
Ordensliteratur	11
Psalter	11
Rom <2001>	11
Schaltungszeichnen	11
Scherzos.	11
Statisch bestimmtes Stabwerk	11
Statistik 1989-	11
Statistik 1992	11
Stilepoche	11
Study guides.	11
Tabelle.	11
Wien <1987>	11
Wien <1992>	11
Wien <1997>	11
bibliographies.	11
Amsterdam <1986>	10
Annual reports (form)	10
Anthologies.	10
Archivio biografico italiano	10
Ballades (Instrumental music)	10
Berlin <2000>	10
Berlin <2003>	10
Berlin <West, 1978>	10
Berlin <West, 1981>	10
Bibliographie 1981-	10
Catalogues d'exposition.	10
Congresses (form)	10
Cross-cultural studies	10
Davenport, Harold	10
Dissertation:theol.	10
Documentary films, television films.	10
Elementarlehre	10
Erfahrungsbericht	10
Fachkunde.	10
Fernsehkolleg	10
Frankfurt <Main, 1986>	10
Geometrie	10
Hamburg <1990>	10
Hamburg <1991>	10
Hauptgutachten <1990/1991>	10
Internationale Klassifikation	10
Kernkraftwerkstechnik	10
Kongress 1997	10
Kongreß	10
Köln <1984>	10
Law digests.	10
Literatures.	10
London <1998>	10
London <2001>	10
München <1982>	10
Paris <1980>	10
Planung	10
Quotations.	10
Rom <1999>	10
Statistik 1996-	10
Suspense fiction.	10
War stories.	10
Washington <DC, 1996>	10
Weltgeschichte 1300-1600	10
Wien <1982>	10
Wien <2001>	10
exhibition catalogs.	10
ʿImādat Šu'ūn al-Maktabāt	10
Abbreviations	9
Anime	9
Basel <1984>	9
Berlin <1994>	9
Bibliographie (Descripteur de forme)	9
Biographical fiction.	9
Cadenzas.	9
Children's stories	9
Commutative algebra	9
Congress / https://id.nlm.nih.gov/mesh/D016423	9
DVD-ROM <für Kinder>	9
